Property,CarbonSteel,StainlessSteel,Copper,MineralOil,LubricantOil,PMMA
Density,7860,7900,8960,834,900,1070
Specific Heat,434,477,384,2255,2000,1470
Thermal Conductivity,52,15,401,0.15,0.15,0.19
Reflectance NdYAG,0.55,0.68,0.85,0.04,0.04,0.45
Absorption Coeff NdYAG,1e7,4E7,1E+09,0,0,1E7
Reflectance KrF,0.32,0.25,0.2,0.04,0.04,0.45
Absorption Coeff KrF,1E9,1E9,1E9,3.00E+02,9.00E+04,1E7
LatentHeat,1e9,1e9,1e9,174000,175000,620000
cpv,1000,1000,1000,1000,1000,1000
rhov,1,1,1,1,1,1
T1,1,1,1,210,200,310
T2,1e9,1e9,1e9,310,300,475
